2/6/2020,4.2,4.3,4.14,4.14,4.14,1510300
2/7/2020,4.11,4.13,3.77,3.81,3.81,2742300
2/10/2020,3.85,4.1,3.74,3.94,3.94,2777000
2/11/2020,3.98,4.24,3.95,4.02,4.02,3415000
2/12/2020,4.13,4.51,4.07,4.19,4.19,4820600
2/13/2020,4.12,4.26,4.07,4.11,4.11,2081700
2/14/2020,4.11,4.19,4.02,4.02,4.02,1582700
2/18/2020,4.01,4.08,3.96,4.06,4.06,1467600
2/19/2020,4.06,4.27,3.92,4.15,4.15,2593100
2/20/2020,4.16,4.3,4.11,4.14,4.14,1562300
2/21/2020,4.12,4.18,3.99,4.04,4.04,1695700
2/24/2020,3.9,3.93,3.7,3.7,3.7,3566300
2/25/2020,3.77,3.79,3.55,3.56,3.56,4447900
2/26/2020,3.58,3.62,3.36,3.39,3.39,4724800
2/27/2020,3.23,3.63,3.18,3.47,3.47,3879500
2/28/2020,3.34,3.72,3.34,3.6,3.6,4692200
3/2/2020,3.6,3.85,3.39,3.83,3.83,3208400
3/3/2020,3.88,3.89,3.5,3.63,3.63,4282500
3/4/2020,3.71,3.83,3.46,3.77,3.77,4257600
3/5/2020,3.7,3.99,3.59,3.96,3.96,3599400
3/6/2020,3.84,4.07,3.76,3.92,3.92,2096800
3/9/2020,3.59,3.97,3.5,3.7,3.7,2732000
3/10/2020,3.94,4.26,3.8,4.23,4.23,4863200
3/11/2020,4.14,4.25,4,4.14,4.14,4414100
3/12/2020,3.7,4.04,3.48,3.98,3.98,5123400
3/13/2020,4.13,4.65,3.85,4.59,4.59,5787200
3/16/2020,3.93,4.57,3.9,4.37,4.37,4866700
3/17/2020,4.4,4.65,4.11,4.23,4.23,3562200
3/18/2020,4.1,4.25,3.5,3.77,3.77,3651700
3/19/2020,3.71,4.2,3.55,4.19,4.19,5039500
3/20/2020,4.08,4.08,3.65,3.76,3.76,7722200
3/23/2020,3.58,3.86,3.5,3.81,3.81,6009800
3/24/2020,3.95,4.21,3.89,4.16,4.16,6805600
3/25/2020,4.15,4.49,4.04,4.17,4.17,3592100
3/26/2020,4.24,4.71,4.24,4.41,4.41,6185700
3/27/2020,4.94,5.09,4.15,4.22,4.22,7024800
3/30/2020,4.22,4.27,3.65,3.65,3.65,3350600
3/31/2020,3.63,3.8,3.5,3.5,3.5,2300900
4/1/2020,3.45,3.49,3.12,3.25,3.25,4568700
4/2/2020,3.26,3.35,2.85,2.85,2.85,4064300
4/3/2020,2.85,2.94,2.57,2.8,2.8,3830400
4/6/2020,2.86,3.2,2.83,3.09,3.09,3340500
4/7/2020,3.39,3.44,3.1,3.27,3.27,2836900
4/8/2020,3.23,3.67,3.2,3.41,3.41,2884500
4/9/2020,3.6,4.25,3.49,3.89,3.89,5908600
4/13/2020,4.25,4.76,4.16,4.74,4.74,6844500
4/14/2020,5.21,6.47,5.14,5.95,5.95,13506600
4/15/2020,5.66,5.67,4.9,5.27,5.27,7499900
4/16/2020,5.12,5.44,4.88,5.03,5.03,3371900
4/17/2020,5.22,5.28,4.43,4.88,4.88,5653200
4/20/2020,4.85,5.9,4.78,5.61,5.61,6085000
4/21/2020,5.23,5.3,4.76,4.78,4.78,4142100
4/22/2020,5.14,5.17,4.83,4.89,4.89,2677800
4/23/2020,4.75,4.89,4.58,4.7,4.7,2265900
4/24/2020,4.78,4.85,4.66,4.77,4.77,2236200
4/27/2020,4.85,5.99,4.81,5.82,5.82,7275100
4/28/2020,5.92,6.04,5.06,5.64,5.64,5200200
4/29/2020,5.83,6.09,5.45,6.04,6.04,3369600
4/30/2020,5.87,5.98,5.64,5.73,5.73,2173300
5/1/2020,5.65,6.18,5.45,6.05,6.05,4005600
5/4/2020,5.84,5.93,5.4,5.48,5.48,4068100
5/5/2020,5.55,5.63,5.35,5.39,5.39,2105900
5/6/2020,5.4,5.4,4.9,4.93,4.93,3369600
5/7/2020,4.83,4.93,4.65,4.87,4.87,2500800
5/8/2020,4.88,5.19,4.82,4.98,4.98,2352600
5/11/2020,4.92,4.96,4.75,4.76,4.76,1699200
5/12/2020,4.78,4.92,4.46,4.54,4.54,2639200
5/13/2020,4.54,4.54,4.07,4.21,4.21,2882900
5/14/2020,4.15,4.19,3.96,4.13,4.13,2004900
5/15/2020,4.05,4.45,4.04,4.22,4.22,1940600
5/18/2020,4.4,4.63,4.36,4.58,4.58,2364200
5/19/2020,4.58,4.75,4.37,4.44,4.44,1840700
5/20/2020,4.5,4.69,4.34,4.43,4.43,2543600
5/21/2020,4.45,4.65,4.4,4.44,4.44,1971900
5/22/2020,4.46,4.49,4.13,4.18,4.18,2379900
5/26/2020,4.34,4.61,4.33,4.42,4.42,3545700
5/27/2020,4.57,4.71,4.36,4.69,4.69,3146600
5/28/2020,4.75,4.76,4.3,4.33,4.33,2183900
5/29/2020,4.33,4.42,4.05,4.06,4.06,3961700
6/1/2020,4.12,4.36,4.02,4.13,4.13,2611600
6/2/2020,4.27,4.31,4.06,4.18,4.18,2369400
6/3/2020,4.24,4.52,4.2,4.44,4.44,3037400
6/4/2020,4.44,4.72,4.37,4.47,4.47,3514300
6/5/2020,4.29,4.41,4.09,4.14,4.14,6274400
6/8/2020,4.28,5.14,4.27,5.01,5.01,10133700
6/9/2020,5,5,4.55,4.96,4.96,8073400
6/10/2020,4.78,5.53,4.68,5.07,5.07,10606400
6/11/2020,4.64,4.9,4.18,4.37,4.37,6236000
6/12/2020,4.6,4.78,4.39,4.72,4.72,4378200
6/15/2020,4.5,4.77,4.42,4.69,4.69,3909000
6/16/2020,4.95,4.95,4.51,4.64,4.64,3121300
6/17/2020,4.54,4.83,4.53,4.76,4.76,3593500
6/18/2020,4.67,4.95,4.65,4.95,4.95,3423800
6/19/2020,4.95,5.08,4.69,4.88,4.88,7366600
6/22/2020,4.79,4.95,4.72,4.87,4.87,3178900
6/23/2020,4.95,4.99,4.8,4.83,4.83,3205400
6/24/2020,4.83,4.84,4.38,4.41,4.41,2976200
6/25/2020,4.33,4.54,4.3,4.46,4.46,2450800
6/26/2020,4.48,4.5,4.27,4.35,4.35,3801200
6/29/2020,4.35,4.52,4.3,4.38,4.38,2131200
6/30/2020,4.33,4.51,4.2,4.34,4.34,3889000
7/1/2020,4.31,4.5,4.31,4.44,4.44,2303700
7/2/2020,4.49,4.51,4.29,4.29,4.29,1887600
7/6/2020,4.31,4.34,4.19,4.24,4.24,2140900
7/7/2020,4.2,4.25,4.06,4.09,4.09,2456600
7/8/2020,4.1,4.29,4.03,4.26,4.26,2052800
7/9/2020,4.27,4.32,4.13,4.21,4.21,1992600
7/10/2020,4.2,4.38,4.18,4.34,4.34,1410800
7/13/2020,4.35,4.55,4.26,4.26,4.26,4216200
7/14/2020,4.22,4.31,4.07,4.08,4.08,2261600
7/15/2020,4.13,4.29,4.13,4.19,4.19,1474100
7/16/2020,4.19,4.2,4.09,4.17,4.17,1330100
7/17/2020,4.16,4.23,3.94,3.96,3.96,3065900
7/20/2020,3.95,4.06,3.77,3.85,3.85,3401100
7/21/2020,3.9,4.09,3.88,4.01,4.01,3337900
7/22/2020,4.02,4.12,3.92,4.11,4.11,2523500
7/23/2020,4.09,4.31,4.06,4.11,4.11,3237200
7/24/2020,4.06,4.23,4.01,4.03,4.03,2215900
7/27/2020,4.02,4.12,3.95,4.01,4.01,2472700
7/28/2020,3.96,4.05,3.92,3.94,3.94,4555400
7/29/2020,3.94,4.18,3.92,4.06,4.06,2879600
7/30/2020,4,4.23,3.97,4.1,4.1,2398500
7/31/2020,4.06,4.16,3.99,4.01,4.01,1879400
8/3/2020,4.03,4.25,4,4.15,4.15,2517600
8/4/2020,4.13,4.74,4.13,4.43,4.43,10361400
8/5/2020,4.5,4.76,4.25,4.63,4.63,4919300
8/6/2020,4.6,4.66,4.38,4.43,4.43,1901200
8/7/2020,4.39,4.4,4.06,4.16,4.16,3341100
8/10/2020,4.2,4.57,4.18,4.33,4.33,4561800
8/11/2020,4.43,4.57,4.34,4.35,4.35,3138800
8/12/2020,4.4,4.63,4.36,4.52,4.52,3057600
8/13/2020,4.52,4.71,4.5,4.64,4.64,2128300
8/14/2020,4.6,4.83,4.55,4.75,4.75,3474400
8/17/2020,4.78,4.78,4.56,4.63,4.63,2371000
8/18/2020,4.61,4.87,4.43,4.81,4.81,3834400
8/19/2020,4.8,4.84,4.64,4.72,4.72,2612600
8/20/2020,4.62,4.68,4.51,4.61,4.61,2441200
8/21/2020,4.6,5.6,4.6,5.03,5.03,10642600
8/24/2020,5.1,5.13,4.56,4.87,4.87,4585400
8/25/2020,4.88,5.25,4.88,4.98,4.98,2998700
8/26/2020,4.97,5.22,4.92,5.11,5.11,2779700
8/27/2020,5.11,5.38,5.02,5.25,5.25,3384400
8/28/2020,5.3,5.57,5.22,5.39,5.39,4236900
8/31/2020,5.77,7.15,5.69,6.68,6.68,37976000
9/1/2020,7.3,7.82,6.77,7.65,7.65,23158600
9/2/2020,7.8,8.05,7.11,7.71,7.71,13011100
9/3/2020,7.88,8.45,7.24,7.82,7.82,14344500
9/4/2020,7.78,7.92,7.17,7.65,7.65,7662000
9/8/2020,7.55,8.28,7.48,7.7,7.7,9816600
9/9/2020,7.96,7.99,7.31,7.35,7.35,9068100
9/10/2020,6.65,6.95,6.19,6.23,6.23,15558300
9/11/2020,6.26,6.33,5.87,6.09,6.09,6061200
9/14/2020,6.8,7,6.43,6.91,6.91,10119000
9/15/2020,6.86,7.26,6.69,7.09,7.09,5743500
9/16/2020,7.03,9.04,7.03,8.68,8.68,19256300
9/17/2020,8.57,9.77,8.41,9.2,9.2,17026700
9/18/2020,9.2,9.77,8.91,9.47,9.47,17407500
9/21/2020,9.35,9.6,8.38,8.75,8.75,7639800
9/22/2020,10.45,11.17,9.9,10.56,10.56,34752500
9/23/2020,10.6,10.86,9.92,10.04,10.04,10651200
9/24/2020,9.71,9.81,9.01,9.14,9.14,7938800
9/25/2020,9.19,10.18,9.1,10.02,10.02,7515200
9/28/2020,10.16,10.26,9.55,10.09,10.09,6764300
9/29/2020,10,10.65,9.93,10.35,10.35,5237600
9/30/2020,10.25,10.76,10.06,10.2,10.2,6079000
10/1/2020,10.09,10.25,9.69,9.77,9.77,4554100
10/2/2020,9.38,9.78,9.3,9.39,9.39,4340500
10/5/2020,9.44,9.59,9.25,9.46,9.46,2805000
10/6/2020,9.56,9.84,9.1,9.13,9.13,4535400
10/7/2020,9.23,9.56,9.17,9.36,9.36,3308600
10/8/2020,9.54,13.64,9.19,13.49,13.49,76453600
10/9/2020,12.83,14.8,11.9,12.02,12.02,77152800
10/12/2020,11.66,12.77,11.4,11.8,11.8,23655700
10/13/2020,11.73,12.42,11.65,11.88,11.88,10179700
10/14/2020,12.67,12.68,12.05,12.25,12.25,10761400
10/15/2020,11.99,15.1,11.99,13.83,13.83,39894800
10/16/2020,13.77,13.9,13.08,13.31,13.31,11651600
10/19/2020,13.44,14.5,13.38,13.91,13.91,13169100
10/20/2020,14.03,14.14,13.67,13.86,13.86,6604000
10/21/2020,13.9,14.42,13.8,14.1,14.1,5361900
10/22/2020,14.2,15.87,14.19,14.91,14.91,16212200
10/23/2020,15.05,15.38,14.55,15,15,6507300
10/26/2020,14.93,15.45,13.26,13.45,13.45,13376300
10/27/2020,13.71,13.71,12.36,12.69,12.69,7231000
10/28/2020,12.27,13.05,11.78,11.82,11.82,6388600
10/29/2020,11.88,12.25,11.68,11.73,11.73,4165800
10/30/2020,11.64,11.64,10.36,10.47,10.47,11546900
11/2/2020,10.82,11.09,10.5,10.75,10.75,5227000
11/3/2020,10.75,11.86,10.63,11.57,11.57,7454500
11/4/2020,11.76,11.77,10.61,10.91,10.91,5807900
11/5/2020,11.27,11.84,11.06,11.45,11.45,4705200
11/6/2020,11.52,12.17,11.32,11.86,11.86,5518200
11/9/2020,12.76,12.93,11.25,11.49,11.49,6244900
11/10/2020,11.5,11.66,10.83,11.1,11.1,3826000
11/11/2020,11.5,11.95,11.21,11.75,11.75,4882600
11/12/2020,11.74,11.87,10.97,11.13,11.13,4353300
11/13/2020,11.36,11.55,11,11.01,11.01,3535900
11/16/2020,11.16,12.66,10.72,12.06,12.06,9774800
11/17/2020,11.65,11.92,11.23,11.63,11.63,6678200
11/18/2020,11.8,12.04,11.56,11.57,11.57,3169200
11/19/2020,11.6,12.79,11.45,12.46,12.46,11787600
11/20/2020,12.55,13.46,12.54,12.71,12.71,8395400
11/23/2020,12.9,14.12,12.67,13.9,13.9,9599100
11/24/2020,14.23,14.26,13.3,13.67,13.67,7183200
11/25/2020,13.6,15.25,13.42,14.75,14.75,8860100
11/27/2020,15.29,16.74,14.88,16.08,16.08,12504200
11/30/2020,18.17,19.42,16.559999,16.559999,16.559999,31983500
12/1/2020,17.110001,17.4,15.76,15.8,15.8,12653900
12/2/2020,15.7,16.68,15.38,16.58,16.58,7883400
12/3/2020,16.48,16.639999,15.87,16.120001,16.120001,6295000
12/4/2020,16.299999,17.290001,16.26,16.9,16.9,8972700
12/7/2020,17,17.5,16.219999,16.35,16.35,7386300
12/8/2020,16.370001,17.209999,15.93,16.940001,16.940001,16120200
12/9/2020,13.92,14.73,13.23,13.66,13.66,24357900
12/10/2020,13.12,14.41,13.05,14.12,14.12,7558900
12/11/2020,13.91,14,13.02,13.31,13.31,7496900
12/14/2020,13.34,13.43,12.14,12.72,12.72,10007100
12/15/2020,12.78,14.02,12.48,13.85,13.85,8189800
12/16/2020,13.96,14.31,13.58,13.85,13.85,5865100
12/17/2020,13.96,14.98,13.59,14.83,14.83,8194900
12/18/2020,15.78,16.299999,15.18,15.63,15.63,16618800
12/21/2020,15.81,16.35,15.28,15.53,15.53,9876100
12/22/2020,16.219999,20.040001,16.15,19.459999,19.459999,30652700
12/23/2020,20.17,22.35,19.129999,20.57,20.57,25830300
12/24/2020,21.01,21.48,19.950001,20.15,20.15,6262200
12/28/2020,21.309999,21.969999,20.35,20.99,20.99,8965900
12/29/2020,20.82,21.07,18.559999,19.379999,19.379999,9241400
12/30/2020,19.379999,20,18.85,19.26,19.26,5934400
12/31/2020,19.25,19.799999,18.799999,18.84,18.84,6922700
1/4/2021,19,19.1,17.15,17.25,17.25,10022500
1/5/2021,17.35,18.08,17.23,17.370001,17.370001,4961500
1/6/2021,17.34,18.98,17.33,18.360001,18.360001,6056200
1/7/2021,18.469999,19.450001,18.02,18.08,18.08,6129300
1/8/2021,18.18,18.299999,17.08,17.690001,17.690001,6482000
1/11/2021,19.41,20.65,19.01,19.940001,19.940001,14908000
1/12/2021,19.959999,20.4,19.32,19.950001,19.950001,7060700
1/13/2021,20.42,38.650002,20.030001,31.4,31.4,144501700
1/14/2021,38.09,43.060001,33.049999,39.91,39.91,93717400
1/15/2021,38.490002,40.75,34.009998,35.5,35.5,46866400
1/19/2021,41.549999,45.52,36.639999,39.360001,39.360001,74721900
1/20/2021,37.369999,41.189999,36.060001,39.119999,39.119999,33471800
1/21/2021,39.23,44.75,37,43.029999,43.029999,56216900
1/22/2021,42.59,76.760002,42.32,65.010002,65.010002,197157900
1/25/2021,96.730003,159.179993,61.130001,76.790001,76.790001,177874000
1/26/2021,88.559998,150,80.199997,147.979996,147.979996,178588000
1/27/2021,354.829987,380,249,347.51001,347.51001,93396700
1/28/2021,265,483,112.25,193.600006,193.600006,58815800
1/29/2021,379.709991,413.980011,250,325,325,50566100
2/1/2021,316.559998,322,212,225,225,37382200
2/2/2021,140.759995,158,74.220001,90,90,78183100
2/3/2021,112.010002,113.400002,85.25,92.410004,92.410004,42698500
2/4/2021,91.190002,91.5,53.330002,53.5,53.5,62427300
2/5/2021,54.040001,95,51.09,63.77,63.77,81345000
2/8/2021,72.410004,72.660004,58.02,60,60,25687300
2/9/2021,56.610001,57,46.52,50.310001,50.310001,26843100
2/10/2021,50.77,62.830002,46.549999,51.200001,51.200001,36455000
2/11/2021,50.009998,55.32,48.220001,51.099998,51.099998,13056700
2/12/2021,50.75,55.240002,48.049999,52.400002,52.400002,14573300
2/16/2021,52.66,53.5,49.040001,49.509998,49.509998,8175000
2/17/2021,49.77,51.189999,44.560001,45.939999,45.939999,9186800
2/18/2021,48.490002,48.869999,40.650002,40.689999,40.689999,23990600
2/19/2021,41.279999,43.889999,38.5,40.59,40.59,14828200
2/22/2021,46.689999,48.509998,42.400002,46,46,19476000
2/23/2021,44.970001,46.23,40,44.970001,44.970001,7565200
2/24/2021,44.700001,91.709999,44.700001,91.709999,91.709999,83111700
2/25/2021,169.559998,184.679993,101,108.730003,108.730003,150308800
2/26/2021,117.459999,142.899994,86,101.739998,101.739998,92194200
3/1/2021,104.540001,133.990005,99.970001,120.400002,120.400002,49794000
3/2/2021,116.93,133.199997,112.199997,118.18,118.18,33783000
3/3/2021,122.510002,127.75,113.120003,124.18,124.18,19273900
3/4/2021,125,147.869995,115.300003,132.350006,132.350006,32606900
3/5/2021,128.169998,151.529999,127.5,137.740005,137.740005,30733700
3/8/2021,154.889999,210.869995,146.100006,194.5,194.5,63565600
